OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1221,2020-012BB,2026-05-15T21:09:03.436128,15.44091350,.00023318,53.0654,310.6461,188.2143,171.8825,0,U,45227,999,34708,.27185016E-3,.12225E-3,0
STARLINK-1222,2020-012BC,2026-05-16T09:10:51.819744,15.53605226,.0000999,53.0544,17.2345,66.8410,293.2705,0,U,45228,999,34613,.51838199E-3,.33291E-3,0
STARLINK-1226,2020-012BD,2026-05-16T05:49:23.287296,15.41556288,.00035386,53.1577,41.5222,123.9216,236.2127,0,U,45229,999,34580,.87476622E-3,.37083E-3,0
STARLINK-1227,2020-012BE,2026-05-16T10:46:06.310560,15.41689387,.00040622,53.1560,40.6801,120.9953,239.1453,0,U,45230,999,34595,.90910673E-3,.38738E-3,0
STARLINK-1246,2020-012BK,2026-05-16T13:54:58.398912,15.33184723,.00033516,53.1580,83.4673,105.0006,255.1367,0,U,45235,999,34537,.11397326E-2,.3687E-3,0
STARLINK-1270,2020-012BM,2026-05-16T04:01:20.060256,15.58060836,.0003951,53.0423,22.4086,112.5558,247.5872,0,U,45237,999,34615,.10660202E-2,.81886E-3,0
STARLINK-1279,2020-019A,2026-05-16T05:15:53.234496,15.71329988,.00094569,53.0352,127.4517,34.8892,325.2743,0,U,45360,999,34124,.5012688E-3,.65045E-3,0
STARLINK-1301,2020-019B,2026-05-16T08:34:22.215648,15.73588379,.00069215,53.0370,129.7855,51.6126,308.5513,0,U,45361,999,34123,.55306839E-3,.79155E-3,0
STARLINK-1262,2020-019G,2026-05-16T11:17:48.380640,15.32175188,.00031149,53.1553,210.2762,6.3831,353.7210,0,U,45366,999,34013,.11259811E-2,.35267E-3,0
STARLINK-1273,2020-019H,2026-05-16T12:36:34.553952,15.54036874,.00058956,53.0452,189.6223,341.5115,18.5680,0,U,45367,999,34041,.62041744E-3,.40636E-3,0
STARLINK-1277,2020-019K,2026-05-16T12:11:43.836864,15.60246688,.00064194,53.0444,184.8029,333.8171,26.2516,0,U,45369,999,34048,.56388913E-3,.4665E-3,0
STARLINK-1281,2020-019L,2026-05-16T11:53:49.224768,15.33074319,.00040488,53.1566,209.9266,1.6728,358.4287,0,U,45370,999,34014,.62418282E-3,.19908E-3,0
STARLINK-1300,2020-019Q,2026-05-16T13:54:08.999712,15.33422805,.00041213,53.1590,209.5053,13.8675,346.2440,0,U,45374,999,34015,.15181822E-2,.49698E-3,0
STARLINK-1302,2020-019R,2026-05-16T13:26:21.578208,15.65062368,.00050147,53.0448,181.2630,359.6366,0.4644,0,U,45375,999,34053,.38324764E-3,.38084E-3,0
STARLINK-1304,2020-019S,2026-05-16T10:15:38.016576,15.59615609,.00061628,53.0420,182.4363,355.8541,4.2419,0,U,45376,999,34050,.86673778E-3,.70465E-3,0
STARLINK-1305,2020-019T,2026-05-16T07:24:39.029184,15.65360539,.0010594,53.0369,162.9324,3.0377,357.0700,0,U,45377,999,34077,.43076261E-3,.43514E-3,0
STARLINK-1319,2020-019V,2026-05-16T13:14:19.926528,15.73679988,.00053381,53.0392,154.3984,21.5516,338.5726,0,U,45379,999,34091,.43369713E-3,.6202E-3,0
STARLINK-1266,2020-019Z,2026-05-16T13:58:45.643872,15.55836026,.00056945,53.0433,166.7478,348.1218,11.9657,0,U,45383,999,34073,.62814412E-3,.43996E-3,0
STARLINK-1267,2020-019AA,2026-05-16T12:17:41.963136,15.61849763,.00071883,53.0434,158.6124,29.7974,330.3447,0,U,45384,999,34084,.57621501E-3,.5078E-3,0
STARLINK-1272,2020-019AC,2026-05-16T09:47:06.958752,15.67141977,.0008177,53.0378,138.6702,20.4456,339.6885,0,U,45386,999,34111,.80574892E-3,.8838E-3,0
STARLINK-1274,2020-019AD,2026-05-16T10:30:31.942944,15.57751146,.00095489,53.0206,136.3577,43.6527,316.5237,0,U,45387,999,34114,.7226199E-3,.54602E-3,0
STARLINK-1280,2020-019AE,2026-05-16T07:38:08.567808,15.74366192,.00059988,53.0365,148.0506,28.3062,331.8281,0,U,45388,999,34096,.49211747E-3,.72697E-3,0
STARLINK-1283,2020-019AF,2026-05-16T10:39:04.771872,15.68322811,.00045296,53.0383,137.7868,46.1192,314.0197,0,U,45389,999,34113,.43673959E-3,.49718E-3,0
